onset	duration	trial_type	block	audioOnset	audioDuration	audioOnsetIndex	eegOnsetIndex	word
2139.9296875	1.501953125	StartSaying	Overt	1917.832865477806	1.5017522362972886	84577357	1095644	EPE
2142.95703125	1.5	StartReading	Overt	1921.2022616289187	1.5022510970389469	84725949	1097194	UTU
2146.3671875	1.50390625	StartSaying	Overt	1924.552587694407	1.5016615343442599	84873700	1098940	UTU
2149.697265625	1.50390625	StartReading	Overt	1927.8848640712426	1.5017068853207742	85020655	1100645	ONO
2152.75	1.5	StartSaying	Overt	1931.2147141708347	1.5027272822923479	85167503	1102208	ONO
2155.84375	1.5	StartReading	Overt	1934.3379225459391	1.5027953087571195	85305238	1103792	UPU
2158.94140625	1.501953125	StartSaying	Overt	1937.7788598625032	1.5017522362972886	85456985	1105378	UPU
2162.267578125	1.50390625	StartReading	Overt	1941.2480735129238	1.502523202898033	85609979	1107081	IKI
2165.361328125	1.501953125	StartSaying	Overt	1944.2863395090167	1.5025685538745477	85743968	1108665	IKI
2168.474609375	1.501953125	StartReading	Overt	1947.581382734134	1.5017295608090315	85889281	1110259	UJU
2171.80859375	1.501953125	StartSaying	Overt	1950.7330715224894	1.5015028059264597	86028272	1111966	UJU
2175.1484375	1.501953125	StartReading	Overt	1953.9177758217472	1.5017068853207742	86168719	1113676	ESE
2178.236328125	1.501953125	StartSaying	Overt	1957.2988952002888	1.5027046068040908	86317828	1115257	ESE
2184.52734375	1.501953125	StartReading	Inert	1962.8751605705443	1.5016842098325172	86563744	1118478	ONO
2187.69921875	1.50390625	StartSaying	Inert	1966.2709736654765	1.502863335221891	86713501	1120102	ONO
2190.935546875	1.501953125	StartReading	Inert	1969.4611881083808	1.5022737725272042	86854191	1121759	UFU
2194.125	1.501953125	StartSaying	Inert	1972.7745984789865	1.5016615343442599	87000314	1123392	UFU
2197.330078125	1.501953125	StartReading	Inert	1976.0523629820518	1.5027272822923479	87144865	1125033	ENE
2200.373046875	1.50390625	StartSaying	Inert	1979.3862266430654	1.50238714996849	87291890	1126591	ENE
2203.75	1.501953125	StartReading	Inert	1982.4880066817666	1.5017068853207742	87428680	1128320	EJE
2206.810546875	1.50390625	StartSaying	Inert	1985.8744094490721	1.5016161833677455	87578022	1129887	EJE
2210.015625	1.501953125	StartReading	Inert	1989.0058036754372	1.501548156902974	87716118	1131528	ANA
2213.314453125	1.501953125	StartSaying	Inert	1992.0858152454116	1.5026592558275764	87851948	1133217	ANA
2216.822265625	1.501953125	StartReading	Inert	1995.2606557072775	1.5024778519215187	87991960	1135013	EFE
2220.1953125	1.501953125	StartSaying	Inert	1998.4930919093167	1.5016615343442599	88134512	1136740	EFE
2223.4921875	1.50390625	StartReading	Inert	2001.6912654485993	1.5016388588560028	88275553	1138428	OMO
2226.53125	1.50390625	StartSaying	Inert	2005.0047891966462	1.502500527409776	88421681	1139984	OMO
2229.888671875	1.5	StartReading	Inert	2008.5045920807258	1.5016388588560028	88576024	1141703	OSO
2233.078125	1.5	StartSaying	Inert	2011.5886625630983	1.5017068853207742	88712033	1143336	OSO
2236.328125	1.50390625	StartReading	Inert	2015.0098041784138	1.5026592558275764	88862907	1145000	IKI
2239.55078125	1.501953125	StartSaying	Inert	2018.2043042885987	1.5025912293628048	89003786	1146650	IKI
2242.822265625	1.501953125	StartReading	Inert	2021.2551098296979	1.5028179842453766	89138328	1148325	ITI
2246.072265625	1.501953125	StartSaying	Inert	2024.649947878635	1.501548156902974	89288042	1149989	ITI
2251.423828125	1.50390625	StartReading	Overt	2030.1306360658864	1.5027953087571195	89529743	1152729	ERE
2254.841796875	1.501953125	StartSaying	Overt	2033.2114186024614	1.5026365803393191	89665607	1154479	ERE
2257.92578125	1.50390625	StartReading	Overt	2036.2261247662552	1.5027499577806052	89798557	1156058	OMO
2261.23046875	1.50390625	StartSaying	Overt	2039.6470849776647	1.5016388588560028	89949423	1157750	OMO
2264.462890625	1.501953125	StartReading	Overt	2043.0383856504336	1.502523202898033	90098981	1159405	URU
2267.744140625	1.501953125	StartSaying	Overt	2046.3518413720158	1.5027272822923479	90245106	1161085	URU
2270.8984375	1.501953125	StartReading	Overt	2049.564799329642	1.5018202627620603	90386799	1162700	ETE
2274.08984375	1.501953125	StartSaying	Overt	2052.675513510717	1.5016161833677455	90523983	1164334	ETE
2277.458984375	1.501953125	StartReading	Overt	2056.1798968434246	1.502840659733634	90678528	1166059	ATA
2280.80859375	1.50390625	StartSaying	Overt	2059.509792293993	1.5015028059264597	90825378	1167774	ATA
2284.142578125	1.501953125	StartReading	Overt	2062.9580537932643	1.5016842098325172	90977448	1169481	ALA
2287.47265625	1.501953125	StartSaying	Overt	2066.2306936359832	1.5026819313158335	91121773	1171186	ALA
2290.595703125	1.501953125	StartReading	Overt	2069.613785782003	1.5015935078794884	91270969	1172785	EJE
2294.03515625	1.501953125	StartSaying	Overt	2072.695339285179	1.5016842098325172	91406867	1174546	EJE
